step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
4,TRANSFER,2930418.44,C2047521920,2930418.44,0.0,C449261773,0.0,0.0,1,0
408,CASH_OUT,66692.96,C1119962034,118786.11,52093.15,C1249432690,212349.43,279042.39,0,0
402,CASH_OUT,15809.81,C1941770360,21776.0,5966.19,C1611515103,0.0,15809.81,0,0
273,CASH_OUT,601494.61,C1113436018,601494.61,0.0,C1251576610,0.0,601494.61,1,0
83,CASH_OUT,365099.76,C1936595952,365099.76,0.0,C1416319101,32745.23,397844.99,1,0
477,CASH_OUT,9639524.7,C560583390,9639524.7,0.0,C1975522590,0.0,9639524.7,1,0
229,TRANSFER,1118686.46,C1694290388,0.0,0.0,C1898874463,2573538.31,3692224.77,0,0
582,TRANSFER,181543.89,C879600285,181543.89,0.0,C1125433623,0.0,0.0,1,0
17,CASH_OUT,269369.27,C270648574,256294.0,0.0,C2127619327,11616.0,300364.01,0,0
572,TRANSFER,2000718.2,C510551701,2000718.2,0.0,C1180976855,0.0,0.0,1,0
403,CASH_IN,182128.81,C1364584948,2445817.3,2627946.1,C852767295,2133769.99,1951641.19,0,0
154,TRANSFER,1581441.8,C1665891733,1581441.8,0.0,C1915924384,0.0,0.0,1,0
181,CASH_OUT,1644749.94,C860545419,1644749.94,0.0,C1340521967,421619.2,2066369.14,1,0
239,CASH_OUT,495991.64,C1566359738,495991.64,0.0,C634632814,0.0,495991.64,1,0
261,PAYMENT,7543.01,C1804685279,8447.88,904.86,M1108273330,0.0,0.0,0,0
207,PAYMENT,17923.92,C920675866,32347.0,14423.08,M702912430,0.0,0.0,0,0
372,PAYMENT,575.44,C1115743451,31256.0,30680.56,M817178048,0.0,0.0,0,0
296,TRANSFER,261874.86,C660614375,261874.86,0.0,C542723764,0.0,0.0,1,0
482,CASH_OUT,1451083.08,C727140107,1451083.08,0.0,C1279293168,0.0,1451083.08,1,0
209,PAYMENT,13901.77,C957669666,39913.0,26011.23,M959275648,0.0,0.0,0,0
117,CASH_OUT,251621.18,C1370708725,251621.18,0.0,C558976656,8078266.37,8329887.55,1,0
225,CASH_OUT,110408.89,C1999053459,0.0,0.0,C1590657776,412399.58,522808.46,0,0
226,CASH_OUT,80455.98,C855368669,5536.0,0.0,C920647373,28805.6,109261.58,0,0
601,TRANSFER,93253.25,C276457586,93253.25,0.0,C871887337,0.0,0.0,1,0
449,TRANSFER,166880.54,C692202599,166880.54,0.0,C1404927892,0.0,0.0,1,0
200,TRANSFER,5393290.34,C1392488521,5393290.34,0.0,C163718633,0.0,0.0,1,0
461,CASH_OUT,830991.53,C307666203,830991.53,0.0,C1498742715,48795.65,879787.17,1,0
161,PAYMENT,320.94,C1435846984,0.0,0.0,M777166369,0.0,0.0,0,0
644,CASH_OUT,628033.58,C583549280,628033.58,0.0,C1565397957,1608906.58,2236940.16,1,0
243,TRANSFER,793886.87,C57496674,793886.87,0.0,C317811789,0.0,0.0,1,0
211,CASH_OUT,72395.57,C1839856198,556667.21,484271.65,C522204880,154765.36,227160.93,0,0
378,CASH_OUT,119120.92,C1004546643,10184.0,0.0,C210104065,1454541.7,1573662.61,0,0
365,CASH_OUT,916644.03,C673817136,916644.03,0.0,C2054229425,2026.9,918670.94,1,0
489,TRANSFER,1189986.88,C1481892464,1189986.88,0.0,C1868266376,0.0,0.0,1,0
93,CASH_OUT,315654.19,C137902575,315654.19,0.0,C1643523023,0.0,315654.19,1,0
468,CASH_OUT,1165187.89,C1626151700,1165187.89,0.0,C184686299,0.0,1165187.89,1,0
707,TRANSFER,226402.77,C1176671535,226402.77,0.0,C385619809,0.0,0.0,1,0
329,PAYMENT,4515.26,C1376125371,180256.0,175740.74,M73997215,0.0,0.0,0,0
240,CASH_OUT,806850.06,C59004862,806850.06,0.0,C97275892,2045274.33,2852124.39,1,0
235,PAYMENT,4023.98,C1568717984,0.0,0.0,M1906271568,0.0,0.0,0,0
165,CASH_IN,200038.31,C382533095,7302639.12,7502677.43,C1813637136,277936.91,77898.6,0,0
334,PAYMENT,13834.8,C1408153097,21283.0,7448.2,M1669661652,0.0,0.0,0,0
182,CASH_OUT,158509.37,C938760363,99018.0,0.0,C804816022,255951.67,414461.04,0,0
94,CASH_IN,235663.11,C1028586941,3717372.97,3953036.08,C625088521,2155555.03,1919891.92,0,0
732,CASH_OUT,249365.63,C1261928380,249365.63,0.0,C1342636720,0.0,249365.63,1,0
162,CASH_IN,95335.42,C1911577467,32980.39,128315.81,C1780194403,218321.07,122985.65,0,0
237,PAYMENT,21972.05,C1312469307,34625.52,12653.47,M1312070234,0.0,0.0,0,0
129,CASH_IN,293525.71,C2052907769,37216.02,330741.73,C1014075663,1049985.56,756459.85,0,0
276,PAYMENT,7993.24,C1631597115,96614.0,88620.76,M1739154641,0.0,0.0,0,0
269,TRANSFER,10000000.0,C1014298205,13042111.54,3042111.54,C668046170,0.0,0.0,1,0
12,CASH_OUT,91945.63,C574072783,12550.0,0.0,C318955795,144347.86,508538.15,0,0
164,CASH_OUT,276042.59,C2133722439,276042.59,0.0,C2121024241,734229.64,1010272.23,1,0
563,TRANSFER,1565621.39,C1835277194,1565621.39,0.0,C372825955,0.0,0.0,1,0
581,CASH_OUT,801763.51,C357089378,801763.51,0.0,C566073834,0.0,801763.51,1,0
17,PAYMENT,16708.13,C1451461351,0.0,0.0,M540708134,0.0,0.0,0,0
380,PAYMENT,7837.25,C633344971,34548.0,26710.75,M1736671216,0.0,0.0,0,0
657,TRANSFER,2429711.09,C1209540867,2429711.09,0.0,C1041044080,0.0,0.0,1,0
46,CASH_OUT,82971.91,C522399382,82971.91,0.0,C509018542,39316.96,122288.87,1,0
657,CASH_OUT,24853.41,C1783297640,24853.41,0.0,C619574054,11435.22,36288.63,1,0
269,CASH_OUT,3042111.54,C2052061131,3042111.54,0.0,C1761711704,3574837.72,6616949.26,1,0
400,CASH_OUT,210660.94,C1673791045,494.0,0.0,C1610474784,0.0,210660.94,0,0
13,PAYMENT,28227.31,C492984106,42220.0,13992.69,M30548647,0.0,0.0,0,0
9,TRANSFER,244068.01,C1087133093,244068.01,0.0,C1855553543,0.0,0.0,1,0
633,CASH_OUT,125107.12,C1400028457,125107.12,0.0,C1683701941,0.0,125107.12,1,0
563,TRANSFER,96989.06,C1198991662,96989.06,0.0,C1959379782,0.0,0.0,1,0
365,TRANSFER,31315.51,C1174332140,31315.51,0.0,C1252332991,0.0,0.0,1,0
