step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
109,CASH_OUT,252417.45,C230861644,252417.45,0.0,C793059779,401309.51,653726.95,1,0
182,PAYMENT,36509.37,C848869246,163901.0,127391.63,M171525218,0.0,0.0,0,0
302,PAYMENT,16699.92,C263661244,0.0,0.0,M795723319,0.0,0.0,0,0
134,PAYMENT,21566.03,C306622454,162922.47,141356.44,M318977797,0.0,0.0,0,0
658,TRANSFER,82535.57,C1234776614,82535.57,0.0,C1827585745,0.0,0.0,1,0
34,PAYMENT,24292.84,C316375145,38.0,0.0,M1891616646,0.0,0.0,0,0
211,PAYMENT,1967.51,C2016779189,281.0,0.0,M2104952361,0.0,0.0,0,0
184,CASH_OUT,139602.49,C1829969617,0.0,0.0,C324554368,495748.83,635351.32,0,0
513,TRANSFER,100762.66,C1956153876,100762.66,0.0,C515991541,0.0,0.0,1,0
470,CASH_OUT,913684.05,C1959891582,913684.05,0.0,C1804810309,410443.03,1324127.08,1,0
66,CASH_OUT,2322909.69,C548911578,2322909.69,0.0,C1075176822,875613.05,3198522.74,1,0
403,CASH_OUT,108560.06,C1861301059,108560.06,0.0,C293709567,0.0,108560.06,1,0
408,PAYMENT,14231.69,C846321958,0.0,0.0,M33270705,0.0,0.0,0,0
643,TRANSFER,161147.38,C215087680,161147.38,0.0,C2112991793,0.0,0.0,1,0
289,TRANSFER,602807.17,C500424911,602807.17,0.0,C2014202347,0.0,0.0,1,0
141,TRANSFER,235003.24,C1769702433,0.0,0.0,C740183255,751083.59,986086.83,0,0
354,CASH_OUT,10000000.0,C50848420,10000000.0,0.0,C1732619349,350562.51,10350562.51,1,0
389,CASH_OUT,9060955.18,C896720879,9060955.18,0.0,C779650292,271460.43,9332415.62,1,0
202,CASH_IN,310966.39,C1234454590,2219740.53,2530706.91,C992659309,599629.46,288663.08,0,0
212,CASH_OUT,10000000.0,C1041060645,10000000.0,0.0,C1784785490,766422.52,10656162.27,1,0
330,CASH_OUT,61756.82,C213016310,61756.82,0.0,C1383721742,191770.49,253527.31,1,0
15,CASH_OUT,137718.36,C564551248,0.0,0.0,C667916683,366720.37,730548.37,0,0
176,CASH_OUT,106642.43,C971898032,106642.43,0.0,C1932810385,4622.5,111264.92,1,0
379,CASH_IN,329307.96,C1978461597,6075220.36,6404528.32,C589311040,7105830.05,6776522.09,0,0
510,TRANSFER,177137.79,C1539613036,177137.79,0.0,C1789883459,0.0,0.0,1,0
688,PAYMENT,12207.05,C22021229,0.0,0.0,M1996827451,0.0,0.0,0,0
353,TRANSFER,839008.91,C2024314550,839008.91,0.0,C510808127,0.0,0.0,1,0
346,PAYMENT,14044.49,C2126538475,15976.0,1931.51,M734218482,0.0,0.0,0,0
495,TRANSFER,296940.32,C136928681,296940.32,0.0,C689814483,0.0,0.0,1,0
